"","COVID_77_T1","COVID_74_T1","COVID_122_T1","COVID_107_T1","COVID_39_T1","COVID_101_T1","COVID_67_T1","COVID_135_T1","COVID_134_T1","COVID_57_T1","COVID_108_T1","COVID_127_T1","COVID_119_T1","COVID_97_T1","COVID_116_T1","COVID_114_T1","COVID_68_T1","COVID_78_T1","COVID_58_T1","COVID_128_T1","COVID_52_T1","COVID_50_T1","COVID_5_T1","COVID_124_T1","COVID_27_T1","COVID_130_T1","COVID_7_T1","COVID_125_T1","COVID_117_T1","COVID_24_T1","COVID_6_T1","COVID_133_T1","COVID_43_T1","COVID_53_T1","COVID_19_T1","COVID_17_T1","COVID_49_T1","COVID_40_T1","COVID_15_T1","COVID_59_T1","COVID_87_T1","COVID_142_T1","COVID_106_T1","COVID_2_T1","COVID_32_T1","COVID_33_T1","COVID_29_T1","COVID_75_T1","COVID_13_T1","COVID_25_T1","COVID_41_T1","COVID_137_T1","COVID_26_T1","COVID_36_T1","COVID_31_T1","COVID_20_T1","COVID_70_T1","COVID_69_T2","COVID_132_T2","COVID_114_T2","COVID_112_T2","COVID_83_T2","COVID_82_T2","COVID_110_T2","COVID_68_T2","COVID_63_T2","COVID_108_T2","COVID_78_T2","COVID_34_T2","COVID_116_T2","COVID_57_T2","COVID_134_T2","COVID_127_T2","COVID_113_T2","COVID_24_T2","COVID_103_T2","COVID_92_T2","COVID_27_T2","COVID_30_T2","COVID_7_T2","COVID_28_T2","COVID_23_T2","COVID_50_T2","COVID_59_T2","COVID_17_T2","COVID_12_T2","COVID_87_T2","COVID_115_T2","COVID_9_T2","COVID_125_T2","COVID_79_T2","COVID_121_T2","COVID_44_T2","COVID_16_T2","COVID_90_T2","COVID_72_T2","COVID_18_T2","COVID_15_T2","COVID_51_T2","COVID_5_T2","COVID_20_T2","COVID_33_T2","COVID_32_T2","COVID_41_T2","COVID_25_T2","COVID_75_T2","COVID_31_T2","COVID_3_T2","COVID_106_T2","COVID_96_T2","COVID_2_T2","COVID_26_T2","COVID_36_T2","COVID_35_T2"
"S-1-pyrroline-5-carboxylate",0.870782998562555,1.26466612845388,1.33467458482296,0.775249183848099,1.22208141003713,1.92689692677807,0.888148413865683,0.243833376492964,0.172188531489153,1.61924289021242,0.9220674367961,1.52126255168558,1.49323758355506,1.08420851716032,1.26610891333692,0.930798410343452,1.08301734340017,0.877484265646366,0.61644963844313,1.2096022597274,0.500081790260461,0.91744313346133,0.660330665240373,1.26701429319856,0.552766724179969,0.710630050782479,0.8935828608842,0.630531627279532,2.01433606952822,0.982737474587947,1.54120270102677,0.987382025934478,0.9434130168166,0.816890210372757,1.82830994727029,1.64379708470952,0.462416179485838,0.68053114416132,0.57105009101931,0.811875923857768,1.29547170295956,0.636770192023075,2.19516736667681,1.01837798191464,1.22799409646816,0.38523763636824,0.805186947984755,0.955735743944218,0.917092094106291,0.738859633949481,0.521136966785533,1.08499732662975,0.922188030940551,1.13231253559129,1.54544372100728,0.89641155031623,2.12584147245796,1.67454243317444,1.22447891149261,0.722286583871478,2.28756061585832,0.911488055500597,2.6835240600368,1.05742213951682,1.03986147447382,1.20453873502583,1.47160651684815,0.99273090270583,1.23629118343672,2.27878696298951,1.91697997855952,1.10139635072704,1.39054554567031,1.65038496347817,1.26335019236499,1.00759289796169,1.14513350658059,0.706790416551143,0.622751874028043,1.21005225502172,1.16435709776151,1.55914073194393,0.819777944066322,1.01342852030824,1.72687891307547,0.90470494356278,1.10615550470434,0.780644882167255,0.864169441500056,1.23360681109302,1.72897737631242,0.640984360279675,0.505503272329218,1.20274682555944,0.90104754941947,0.558989979851077,1.23288386329421,0.61874551128698,0.681555932902984,2.0833009602967,1.91734026628174,1.20858884619601,1.77509995904336,0.666382816076283,0.637156368061437,1.31636996520923,1.53770307127559,1.70731797778266,1.46158349854079,1.0513162792094,2.12716025902445,0.912296677058272,1.17532239456022,1.70000813526709
"spermidine",3.06354891940314,1.83644830395569,2.34900032502269,1.84692819145258,5.17074205862226,0.794538922117038,3.35784029487047,1.19355056651964,3.81497269367824,3.4751417251718,1.46389056462141,1.6350710874478,1.33770713916146,2.47649212613212,1.83294332927736,0.873922796343593,0.751374764552758,1.47506014710864,1.44916912826008,0.948200488958017,2.26910927405339,0.480960457167454,1.97110225323839,1.85487797470784,1.40185583275138,1.59543422813968,1.28190762124959,2.16273039868176,2.10701886472177,1.12862641992843,0.742523516037702,2.52854208046652,1.10082757381505,0.560621719696603,0.685451686360137,1.18145667812372,1.23832404994647,0.995707084237207,1.83206360507806,3.25503789565167,1.89483162150959,3.66828094579888,2.19093993438676,0.794252327477151,1.72179811931546,1.30586376983817,0.580953614946943,1.85774864168052,1.16153226588039,0.816349417090386,0.633814779630707,1.63915464951157,0.643139139069977,0.857522488424477,1.19277779455323,1.20358958406925,3.16021696785315,1.91308947929931,2.75845028104721,1.64681636019621,1.78538933901979,1.17793507090706,0.64911002217637,0.955406270384289,1.40756065889205,1.40327289029362,1.16899192066388,1.34598100437962,0.658342811676139,1.84856299362502,4.1806144493291,3.52895582868937,1.31350886029439,2.65901293395835,0.473848536918624,2.36504534463565,1.63207327851268,1.26134541043365,1.49431321011967,3.70769212070767,0.294845270304834,1.08758988370325,1.03997938496358,3.1676568126073,0.254365454450961,2.7638216815393,2.73706661865578,1.15303931963447,0.487810077580144,2.01762191207326,1.36250859703299,1.24956633098717,1.56640378870152,2.27651737413538,0.823420165540578,1.15651287535941,0.923773751099555,0.664276855817604,1.83289942969619,1.05025485367832,1.0417334521232,1.39011451503317,2.48298274490526,0.773830198654111,0.209626228517105,2.87366402695754,1.47769143098627,1.25709397990729,1.58541368933819,2.07124767427697,0.347779809839616,0.643386801446593,1.04852557789662,1.20328422462591
"1-methylnicotinamide",1.99227449649438,0.875066488034323,0.771713686340719,2.31386750799366,2.90935400988217,0.663705246324384,0.422416410163413,2.93323263202249,0.880481122054037,0.643915559197726,0.526617783643439,0.680979420670791,0.353028161864389,0.759854960234614,0.537845454382141,0.74329968092445,0.599434262992051,0.445951063776532,0.429470812196505,0.530749236026466,0.376909271413284,0.448300074297541,0.617958455413558,0.419688094841838,0.103332688600796,0.879308165475458,0.97026451030621,0.698241586823672,0.840708124673197,0.478172627972614,1.15956906667387,0.555008494868995,0.56974570055583,1.07394321662827,1.12939796681162,0.371734261898602,0.701121085369177,0.979505450589832,0.50458393617807,0.81104532873511,1.57712686434834,1.51920203470029,0.239078349975315,2.63262262636478,0.752402576126338,1.44020368418711,0.502231408894861,0.66495753368869,0.797152129285604,0.655470156439402,0.211824707627757,1.18460610662724,1.93145244758532,0.254151280423216,1.09369418975555,2.38771192292203,1.54547221536437,1.22477304987422,0.3502700858024,1.78670566322151,0.719901839343601,1.20192387492744,0.433697114671052,1.61469438606774,3.68175735428791,0.80009056332252,0.947874357698876,0.346370179210994,0.875836758288369,0.804213497048959,0.628887378863677,0.173729434333775,0.726948611829752,0.777201311018509,0.687563907122898,2.44334626343207,1.14377415390893,0.224108694724418,1.03912422560781,2.0740991950117,1.94829919447071,0.684941114557311,0.130807409584907,0.570980246999951,0.819800862338757,1.18804025079875,1.66174256704933,0.609509774210532,0.933409402911591,0.831671741978312,0.285573990998703,3.533227631347,1.42087237556263,1.41903884765551,1.99775294692213,0.929566812121604,0.85280618561332,1.60672366471793,0.650362469272441,1.8197550298918,2.44695682966809,0.728536375694331,0.866826670126521,1.44523740801306,0.655621973432628,0.385027786727352,0.977428183301016,1.46677312359091,0.565330218761149,0.675981426382474,0.873794003762404,2.13920414456068,0.782434423554553,0.880820748268535
"12,13-DiHOME",0.719717992686676,6.26807316258745,1.6672903471066,2.40078576130663,1.15204916421606,0.785074111513901,2.31608472680266,0.903749509543717,0.646592312396028,0.950307765999082,0.813580384579144,0.537047896427955,4.36450680615077,1.52361859643177,3.02191109074403,1.14888106666643,0.848069840424204,1.53658490602507,1.14430378044687,1.21589549568075,0.517491934866068,0.569816096171495,0.582077171492968,0.517256152578874,0.936600703014034,0.566529546789779,0.866685097072353,0.469192518249152,0.542343482494713,1.20468712289689,0.52315875083892,0.546427697541437,0.551288013407556,0.780564248391659,1.31973007469356,0.384627944896907,0.561875915822599,0.840053090336328,0.790204533094139,0.673943960996354,1.03685234071731,0.431049569191488,0.639174255422596,1.38042639456443,1.86510978991391,0.873244138862473,0.678563780573259,1.03765065192098,1.54767981420926,1.14854136536373,0.374768547045099,0.840007492407015,0.750680777444899,1.11845735851523,0.944172795787459,2.29295131715317,0.575065542803075,2.86046948038437,2.55584767590106,1.50609092096702,0.31133493633765,0.639492137602619,2.31905778165658,0.628720038180573,0.543177095811183,0.882448201590133,2.11448794708163,1.32170600527412,1.03704143223521,0.4704667963066,1.2642171050078,1.82153760000147,1.65223188876879,10.7741847029927,0.67344375509229,1.27978563257308,1.03360257622661,1.35294515137346,0.77806362763951,0.853193846646988,0.994867860227887,0.712567059465037,0.674518699150056,0.822299926313353,1.23405306399782,1.17631120116853,0.619225706252312,0.488794964841779,0.979756540222526,0.307831245361446,1.66537470174542,1.88903964170085,0.836927407393518,0.985204199762032,0.762699521271011,0.805604046927266,1.52375709445118,1.06698396501358,0.554316743362134,0.796327431059192,0.949064857171487,0.783818735888676,1.24974661971108,1.2097334504172,0.700576385563065,1.39706729151632,1.23201837774438,0.777526034392424,0.463834413204315,1.41469151036579,2.10870703063805,0.655708190039274,1.11968033507356,1.94471661334335
"alpha-ketoglutarate",1.43756825227038,1.11865588140818,0.836587660885302,1.0510378611814,0.965967615325575,1.07570432707536,0.843178608917989,1.18363028425823,0.83825046261624,0.606002810893516,1.2692164461391,0.680080365230114,1.02294566832852,0.851701870283388,0.787811301509753,1.19751420314612,1.00199739045046,1.13247310017665,1.55281950530467,0.975441684130839,1.44953406237599,1.52488961336883,1.49077383857591,1.03572330785358,2.08532084115302,3.05008281295648,1.09473572467292,1.5856450892128,1.34448111745353,1.00380740593702,1.49309473147131,1.22104701519875,1.30463613065267,1.28390187545104,0.821196760357716,1.42758939983178,1.56506419665706,0.825184037143266,3.50413912004789,1.67108174802137,1.45950191625115,0.570428122864235,1.70053670923863,0.757491979123863,0.961299501973054,1.32951875642967,1.37001320652447,0.752188405942374,1.05757928794837,1.98739513587029,1.06867096278206,0.542746547086709,2.3314995422883,1.64333315530694,0.891745175781368,0.929295991443457,1.22726816121351,1.15183102815284,1.10850246755776,1.73450754581084,0.815588473194895,1.15501112692677,1.03656121680453,1.37470656564131,1.00036352240525,0.825370311717851,1.13369509403041,1.09305985137285,0.951203418846359,0.802648874384403,0.791422999615074,1.22220834705349,0.61963578429161,0.798474340511752,0.970445288973267,1.30139676482108,1.74405804008346,1.63083895720271,1.53875878490564,1.40688951563068,0.779485971018716,1.09663035335869,1.66337001003939,1.54560681792966,2.50648269070984,2.32677417398335,1.29247730936905,1.15726608677263,2.45182915148682,3.03250204680632,3.05723755124679,2.02287153967622,2.22608025959602,1.24477991965756,1.48668884087306,1.18038593220832,1.55301729336822,2.7182343271394,1.71513804238468,1.74853422954117,1.22320918398869,2.27078665594394,0.87057131272813,1.48873693808759,2.61976886484209,1.10932877025634,0.830354242824547,2.57472726548676,1.91624871996011,0.90716330017631,6.81054561404133,2.41563655573371,1.02469223385076,1.15717322846057
"kynurenate",1.03200700634125,0.755332336470279,0.874305395065755,0.934916954523487,1.23757206839475,0.825998407266435,0.51455602607243,1.6965352019609,0.74220730341484,0.882405066715936,0.537609595835832,1.2109935519671,0.886546499474888,0.892135610000494,1.30899448751046,0.769778468242178,0.930233251019309,0.368044848511414,0.717180646994458,1.16760003506039,1.10383386127266,0.83352726209544,1.16781713265301,1.01531560775465,0.760863776050481,1.50113177989208,1.01485746507831,1.31213450665648,1.00560542139843,1.16352914660746,1.03512615992467,0.766880593376007,1.32414338423301,3.25314571643279,1.13324878757952,1.79780223113129,1.16958861598314,1.32446850094662,0.914390106436249,0.535211120294775,0.843905874715371,1.98047625613165,1.32434022836636,1.16301634335194,0.612206463406162,1.1207087682862,0.755591879600639,2.15250423383212,1.68211424288588,1.62751673742637,0.89061849276501,3.54251486147089,1.63086533400055,1.77104090057044,1.56796927558512,3.14519065119907,2.36321997102793,1.07325329112852,0.729456514928187,0.816528201113973,1.32518600272098,0.976388055219969,0.918174076410922,1.04951045883577,0.889329476928286,1.34074040738581,0.740966322465841,0.78406975160026,1.3439208001402,1.00545048604538,1.34265974831976,0.575042252287148,0.922878634938953,0.572623976134829,1.38057273215182,0.507895990450246,1.86940558573354,0.575685126874599,1.2695621316393,1.1887887331147,1.89706690446329,1.04567599985806,0.825232705221386,0.76443797111629,2.65145002594619,1.74415963908715,0.828171349783169,0.851110831604095,1.55285370962162,1.32658977976554,1.90335325660219,0.924619635980537,1.03423596476631,1.16343513578183,3.16138750683841,3.24207400189657,1.35532514085974,1.39349675010043,1.10184459888725,2.40701457235822,2.42677868700601,2.5762844359636,0.743111833931053,1.29758126586822,2.17654449818472,3.50542363098922,1.34058184533709,2.63195287277318,2.0412185936779,1.74716581718534,1.59546085481671,1.52553796388304,3.19668864580519,0.75863362700333
"3-hydroxyisobutyrate",1.26355556526768,1.51760436759881,0.653189830078387,1.23723900291557,0.536334013255271,1.82470102362538,0.461243690670049,2.07295263419164,3.42198699460532,0.318601474842614,1.56217353238067,1.0846657536653,0.591827081062689,0.618245283705142,1.64736397146294,1.72570932051326,1.13285846035406,0.521553376134628,1.45124981551595,1.83105060779549,2.4681133494469,1.27544831431082,2.29100023162452,1.91339131431838,1.84559471821839,0.96487196721301,1.43215792847401,1.79199888565801,2.59022402929938,0.732199295743022,2.98971331671734,2.40260330367429,1.15783007633195,2.28509870586475,1.73577499992621,2.03884897370141,1.13791297488171,2.22244119454398,0.886623243387941,0.947150388040658,1.43645834831179,2.86764871805854,2.99329953439441,2.1043023596494,0.616477373692872,3.58355191704835,2.21472978437019,1.92117470790585,2.85607396023864,1.15612422822897,1.43613944035485,1.98580889002457,1.48161381945999,1.12322380535403,1.51976381440957,3.10298729091034,3.42264752921599,0.842370516826128,0.66166342436785,0.736992451327756,1.95662113097257,0.735022060265845,0.630186605656614,1.07034306285736,0.67402169325412,0.641041417007118,2.4327819554779,0.431082243908642,1.27150707015402,2.40692613568252,0.688541803168593,0.625407479251447,1.44835240325372,1.24499264337374,0.716408448484535,1.86640215034321,0.547490191358842,2.43908257463384,1.50543197646311,1.29487058290651,3.22821536424425,1.34347119485071,1.08414043776207,1.35242095127167,1.96515370502427,1.47282706469992,1.44553099588662,0.733807206804503,3.53864907635245,2.22930923228605,2.0709303337259,1.66118214649806,0.845162958588517,2.09962208139623,0.826711457775139,1.26369729848407,2.98912295042693,3.23189304609117,4.56219449525984,1.02688676509727,2.93128009706995,1.14448484609497,1.203644345,4.16441480905646,1.01905513803059,2.7235525422257,1.57853025101412,3.1894228595124,3.30183834308948,1.05346902302354,2.06534473229247,0.91092154384108,1.37438777824467,0.726691437794469
"3-hydroxy-3-methylglutarate",1.24792680754859,1.36652099188927,0.955916704845078,2.0472607705945,1.16118087111335,1.20081481565147,1.34555513243607,1.20497201817529,1.56471280763455,1.00635506326489,1.40941888879544,1.34545631785638,1.54208956248926,1.71680033881066,0.943505048902012,1.09557691418692,1.3550442470584,0.827212284674543,5.60293192517072,1.3864707147331,1.17413307533493,1.92424929986675,1.32303901420833,0.921067544016216,1.41289026229455,1.60341020862946,1.20397933406554,0.980203034525078,1.211517545,1.02678105534183,0.793036306928792,1.85895876563358,1.99200213927289,3.28067177764734,2.35526340124136,1.69218055662072,1.28620916926882,2.81421166274512,1.26414884949822,1.9301550086833,1.45986387160299,1.28328782004612,0.838367781767363,0.876661053819917,1.75986021466118,2.62467756677599,1.50537465806919,1.29157674960678,1.67171719851697,3.1896248797808,1.27792757536783,1.61122970946553,0.856850714760379,0.955393962944441,1.03260497936636,1.27864562735212,1.1154107756006,1.61846979467279,1.16599185818603,1.35758876303166,2.06688565849444,1.6459149743042,1.06990072612698,0.934083343824996,1.0142478367339,1.63839451115514,1.33207221890234,0.957737410818112,1.24243364852117,1.01421869089105,1.65336219246694,1.74878554437472,2.35277160928015,1.27308860476734,0.988462694971265,0.972872683417547,1.2586999797623,1.91886464784424,1.32881772255426,1.48576306513044,5.5325176085506,1.00599804616165,1.43742753029602,2.41545579285455,1.57136158075294,2.54636997740239,2.231643287151,1.58556161178299,2.8330949852565,1.21325481499708,1.46470569108019,4.90792306247718,1.09271080745391,0.768119337868324,20.2725684763744,3.67311706423818,1.3646635170154,1.85501806451454,1.12474313628991,1.54818690082555,0.977279373234409,2.68713984780051,2.25926252356604,1.50598399534683,4.36123906266904,1.08528020714102,1.02691394269159,1.30152364540027,1.27101090691112,2.60088941148839,1.1600303991804,1.19129428024291,1.20700602227306,1.08095560630724
"3-phosphoglycerate",7.14048644334595,2.91678084727667,2.2531940833188,2.30503517388742,3.51660925357101,2.603082491556,3.31635632348672,1.70057687143919,6.65049425085967,4.07040600360934,1.2842163606172,2.67518035792904,2.7815605899482,3.70621895601528,3.71275280176965,1.198951088228,1.13366681607229,3.32560141206063,2.90656639888423,1.91287539300373,3.1878002669222,1.44089639893191,0.617253507327959,1.78732341778359,1.89904313323868,2.61774100399834,1.35427325865583,2.17388574683839,2.5373263227886,1.10603622338905,0.919195355975452,3.3186551079403,0.816520062000109,1.17535812370352,0.267955529205749,1.39751710331927,2.42193076682806,0.744475395160493,1.32664301289931,5.13070738542376,2.61614207045357,6.14537720103925,1.61001290774216,1.10214701599633,3.05095200560183,0.851055690121658,0.988698279285198,3.03389499312809,0.438224571400132,0.619326307940204,1.13376881951013,2.1615147167377,0.768130976573976,2.07436266648051,1.09559136220386,0.257993924712384,2.67003430162909,6.18099054647722,3.91509155109394,3.67277627666317,2.87398010214683,2.14029415867073,1.36963673126872,1.54892569657625,2.72272584883273,1.22725556599759,1.21419234909869,1.86866029613607,2.60330325112826,2.235738984406,2.93997388428292,5.07678601640937,3.70692585326266,4.85481226244873,0.288657042093773,2.6006161588466,1.55580125810904,0.844456445953145,2.01814494477442,1.36738739925629,0.961131492602852,1.43164980517757,2.91182685543875,4.80723128482346,0.948202605497887,1.94176250637239,4.06645107101426,3.85089129506218,0.719750378942476,3.59920083550372,2.25926983502168,2.75348822512046,0.792052252221087,0.60108591174482,1.21764313493234,1.25527788275884,2.01396426474975,1.65749144745044,7.67631400803339,0.616223349398545,0.332908793696768,0.632669993426723,3.34904309324718,1.34826115238342,0.674600830109055,3.87189122863229,1.22967983170749,0.75144617644424,1.51040587672049,2.91403517653962,0.792765286804085,1.23416326696546,1.59357885371679,1.21982923633777
"cholate",1.6252669786046,0.598171134397387,1.40113769472239,0.317095789611599,0.415601344911192,2.82793903511567,1.16814887608215,0.990493661064981,1.82925502295206,1.76916164564871,2.04133507033432,30.9872618440787,0.720292057245101,3.38929417986715,3.28487828812182,3.85535480487262,2.68635041773062,0.33118184165954,1.97445843747484,1.47568487473908,0.755966380142076,0.366403577909096,1.55673559120971,2.78959458741791,11.8413925111323,1.06843740133664,2.2320382559773,2.99648439946213,0.838357947267023,4.50218642959957,1.88667587646811,0.442471924845552,1.18234074328262,0.776335825416037,0.362920937082513,3.22001046457586,4.02228301847108,0.244031078130115,7.57569270389696,0.318738790315399,20.0585815494488,0.437920698065901,1.298720138,0.542695547388478,1.20434646153408,11.4283322130199,1.66964342650267,1.65952390104053,0.667258333810377,0.563369770532606,0.69589902455987,0.242849570129483,1.15255246572532,2.38007030039329,0.467929677935056,1.29760106803348,3.0580624260941,6.86807357726919,1.50254456875561,0.643338976730816,0.253339171730121,2.13223891877674,0.386162751460023,1.31783348682363,0.855532391649676,0.349522123585045,1.83329758011382,51.8792632762145,5.28824012310027,3.80797790177524,2.34923992208518,0.84119667731512,8.60579255072629,3.45722526072345,3.44205952221899,1.27811511080931,0.875522433784715,3.21529211303931,1.86604220246279,0.986198736487335,0.803948958917709,1.16664307911227,0.451293851226524,0.306879016749521,3.9199847487143,1.12101428970022,1.01081650519707,1.85047739076949,31.4572367341878,2.2967473749014,0.430139659701795,0.63665822419497,0.28786939359505,8.96470416270593,1.5781155181151,9.43989575301023,2.54439281246413,0.734158837565795,1.07532530089397,0.711177389078834,0.639659650674273,51.5450496613371,0.759488030210855,0.661947506002536,0.559933820027767,2.45881992218981,0.840380903685868,0.798904851523226,2.08931136901849,1.23338119555017,2.08796734502903,1.65750317996919,0.803290742158679,1.17728008043712
