"","COVID_77_T1","COVID_74_T1","COVID_122_T1","COVID_107_T1","COVID_39_T1","COVID_101_T1","COVID_67_T1","COVID_135_T1","COVID_134_T1","COVID_57_T1","COVID_108_T1","COVID_127_T1","COVID_119_T1","COVID_97_T1","COVID_116_T1","COVID_114_T1","COVID_68_T1","COVID_78_T1","COVID_58_T1","COVID_128_T1","COVID_52_T1","COVID_50_T1","COVID_5_T1","COVID_124_T1","COVID_27_T1","COVID_130_T1","COVID_7_T1","COVID_125_T1","COVID_117_T1","COVID_24_T1","COVID_6_T1","COVID_133_T1","COVID_43_T1","COVID_53_T1","COVID_19_T1","COVID_17_T1","COVID_49_T1","COVID_40_T1","COVID_15_T1","COVID_59_T1","COVID_87_T1","COVID_142_T1","COVID_106_T1","COVID_2_T1","COVID_32_T1","COVID_33_T1","COVID_29_T1","COVID_75_T1","COVID_13_T1","COVID_25_T1","COVID_41_T1","COVID_137_T1","COVID_26_T1","COVID_36_T1","COVID_31_T1","COVID_20_T1","COVID_70_T1","COVID_69_T2","COVID_132_T2","COVID_114_T2","COVID_112_T2","COVID_83_T2","COVID_82_T2","COVID_110_T2","COVID_68_T2","COVID_63_T2","COVID_108_T2","COVID_78_T2","COVID_34_T2","COVID_116_T2","COVID_57_T2","COVID_134_T2","COVID_127_T2","COVID_113_T2","COVID_24_T2","COVID_103_T2","COVID_92_T2","COVID_27_T2","COVID_30_T2","COVID_7_T2","COVID_28_T2","COVID_23_T2","COVID_50_T2","COVID_59_T2","COVID_17_T2","COVID_12_T2","COVID_87_T2","COVID_115_T2","COVID_9_T2","COVID_125_T2","COVID_79_T2","COVID_121_T2","COVID_44_T2","COVID_16_T2","COVID_90_T2","COVID_72_T2","COVID_18_T2","COVID_15_T2","COVID_51_T2","COVID_5_T2","COVID_20_T2","COVID_33_T2","COVID_32_T2","COVID_41_T2","COVID_25_T2","COVID_75_T2","COVID_31_T2","COVID_3_T2","COVID_106_T2","COVID_96_T2","COVID_2_T2","COVID_26_T2","COVID_36_T2","COVID_35_T2"
"lectin, galactoside-binding, soluble, 9",9.4666933713034,9.04285792330931,10.4347722454492,9.7181926221263,9.47025493971265,9.94256887496335,9.33626874023978,11.1898227097901,10.1537658015832,10.1881538325716,10.1623823886714,9.55769795346538,9.18476915724953,9.13264396522772,8.4345665391116,10.0769566191508,9.76895086190662,9.54027548173406,8.68699762548929,9.51772707162083,10.0972397977697,9.49932529140754,11.2015405642959,10.8720704239271,11.0603852358923,10.0344997165366,11.2714655420047,10.2107346248487,10.80717364436,11.2207852220466,11.3417614881377,10.4194045309642,10.1816381776509,10.3082079507481,10.8206785672165,10.5901464789273,9.97579989479549,10.9235542310018,11.5362812140676,9.66303129564282,9.86192069042007,10.6066387375642,9.69968720776096,11.5797476219335,10.7869721890311,11.0337540727486,11.1313439161707,9.1352892530756,11.7281154303009,10.904813594365,10.604719127793,9.91346723709889,10.8361352797234,10.5060774329329,10.5350007646832,10.3129607285729,9.32786368827267,9.69975630961769,9.79653769795616,9.32179644672934,9.10078713751083,9.50876953918752,10.4410534606196,9.54614823300331,9.92938310802316,9.98518340158538,9.57310233295524,9.95699604827012,9.67772643257941,8.19986504311989,9.65298745846702,9.7178606280681,9.18747321494459,9.57893908726708,10.7728816336645,9.48847582711887,9.42494109411523,11.6197810084359,10.5941525779853,11.0162052122839,10.6450285647422,10.9444814942812,9.67017523028119,9.41164279643753,10.320888416871,10.1783739989768,9.48169866721244,9.80042145991585,10.0559018966182,9.98297719097373,10.0657980428745,9.87182349224618,10.6544260123137,11.6863583122521,8.91833106516557,10.1050440796295,10.8388039065861,11.2844230854664,9.96300395126242,10.8798947088792,10.4572506179037,10.9519910768822,10.4830509032228,9.89814802190706,10.769428986505,8.86656397095803,10.0510649535645,10.7090315041231,9.67955825994537,10.0953409303049,10.6021117188385,10.7761093521775,9.78426356253673,10.0845091429632
"tumor necrosis factor receptor superfamily, member 10a",3.8324009726824,2.92549079769576,3.48487562497174,3.42822896859063,3.27061455119578,3.3937600400398,3.26755173579568,3.15861974869317,3.05311899178744,3.20498428749836,3.32496571075655,3.95576520208375,3.37709689661953,3.23528215456903,2.76550189552682,4.37937059968684,3.28594473777855,2.9546420597507,4.6322940303565,3.31188756601967,3.63302280781901,3.41619256079586,4.77244211313946,4.40811397351744,4.8251853241032,3.95799223099086,4.91425605629565,4.0844381334289,3.60507747095296,3.97654423644111,4.59568232603565,3.88436152959909,4.34627373918955,4.4459216441288,5.31507111748614,4.7197834450807,4.67766715476685,4.93041640809215,5.18772905514879,3.57035683560739,4.33460937251345,4.24087027199147,4.69513572365182,3.63872202721546,4.39375206213293,5.4623960982683,5.28204095216336,5.37290950558639,4.74804179908367,6.02209961072096,3.6580484568519,3.58219667956482,4.53614685887509,5.29916245007097,5.1152036019036,4.90944502835282,4.67130808876416,3.35931559230859,3.26342249612226,4.00413727922575,2.66796928282624,3.64957389549502,3.81587646560417,3.42738688423532,3.39602457192366,3.74905055991706,3.32885704672591,3.67506493237442,4.03901605639483,3.08281536363777,3.43390900742632,3.25081584478091,3.45477765943848,2.71274530895735,3.91578273547986,3.49297767243619,3.51161115157714,4.8407281132145,4.95712322053203,4.68149254023562,5.95058926020597,4.81658950128475,3.5840998232957,3.69409565492353,4.4710648481961,3.87441918383338,3.8342410850138,2.98021071709809,5.17670947180171,4.02707089780265,4.72243870566704,4.31785711481434,4.04907874442004,5.92504491554601,5.30169547151834,4.85022040106513,3.41277040670232,4.67192502494972,4.0517282679459,4.44674527567003,4.80258866484606,6.15634130171707,4.59618014401726,3.62325959745137,5.43452164709981,5.25948566348929,4.73317204987973,4.12941737958634,4.64475462822616,4.14535306971027,3.67427501443513,4.14555885689368,4.82550822931002,4.41971753427898
"agouti related protein homolog (mouse)",5.6866724151835,5.12874912566714,4.54950780231367,4.57804334715007,5.35231902637247,5.54038223167639,5.30216769663753,4.52652649625181,4.45022028776552,4.25358471079747,4.70219248012058,4.52566197153768,5.25555973195373,5.96131813867268,4.67032766707972,5.29271700500374,4.69042910531003,4.11396073410337,5.07031794456004,4.24616221830311,5.23442447694019,5.19371661695525,5.63577971354426,5.05412593104,4.60974310285509,4.73983681764381,6.04875801915727,5.10535568355673,4.46676095949365,5.31935193537715,6.1134596904988,4.23700904853281,5.15809872290969,5.91925633603013,6.41912876963803,5.89327616541646,5.71636903716946,5.42785579749289,6.04408651927289,4.81673526342709,5.13322653116783,5.69671269448604,4.53439254776425,6.00250728009336,4.46266532516818,5.79195575834994,5.46775111604972,5.84016930908864,5.95980740563983,5.44745270948215,4.93453467946936,4.69369135586002,4.645750963075,5.59357389768064,5.32313268406498,6.39969628682956,4.27124364993162,5.05135134006733,4.92311623737523,5.43782217230608,4.05474560013721,5.56894834834218,5.74809574459179,5.51975373631665,5.00590612675862,5.98007511717903,5.0257968656322,5.15936705763996,4.20094639858615,5.01694862083551,4.459030245356,4.40657191663969,4.3956793183193,4.8951379967389,4.55922733749697,6.04967650741557,5.72463855541866,5.06471317699509,5.02230887781239,6.46792626207173,5.45407556773527,3.79727686486377,5.64975379072624,4.6198894679984,4.67634102636566,3.94144347443876,5.15567994185755,4.74808936613855,4.02384645333323,4.0700299728665,5.62606985695265,4.61759231245406,4.2966235557759,5.72561678138102,7.14559064796133,7.0099626541993,4.09952028688214,4.89544825189799,4.14131847444201,5.12466339996408,5.70855654105064,5.00594107973693,4.44231548063121,5.19575505134641,4.92219093772219,5.65868946692997,5.41065274087078,5.39046488460584,4.59531581152689,4.97622991440955,4.60460254804104,4.88569148589934,6.04479251340539,5.29462799089664
"tumor necrosis factor receptor superfamily, member 10b",5.35890204713184,5.59778740847893,5.39400452578901,5.83166227288392,5.71917501167199,5.37117589046781,5.47193738524401,5.71585462254691,5.1651252820223,5.5432209558918,5.50514984185636,6.0417243778696,5.33491135500156,5.02257927900327,5.10492601128344,6.74498862735953,5.72280088071807,4.97143121526799,5.92013976380973,5.69411143294517,6.48334940817743,6.87419188832631,8.2060337473552,6.4994986198353,6.6638614140106,6.34545607816741,6.90001871885146,6.38567201191343,6.36845670164723,7.07679904931897,6.34994120241209,6.37373787250756,6.74627562138785,7.20203207948792,8.40791720058449,7.48650599895274,6.71842062968363,6.85260090270007,7.18987247359032,6.4159055001373,6.27186989715692,6.61289169240828,7.27277141283529,7.0679675632957,7.3654772502788,7.56300480524207,6.71802183871825,6.94523921868701,8.33631990266425,7.38472738313603,5.44362995009983,6.63920057326542,7.3502741342356,8.04282599186046,8.15362899122403,8.46567464327414,7.11335126922837,5.62011811901777,5.80941666110134,6.26321617349705,5.02264657406822,5.38129456346873,5.65497935524005,5.17016062274026,5.56650506133601,6.29900975113799,5.58328158242503,5.87546754733906,5.34816213231677,5.16641592603502,5.49292149918659,5.44555565597852,5.73123617300778,5.29769181556558,6.38769596160688,5.53498900260261,5.89728581745925,7.57866521494983,7.90544317349271,7.0636161970476,9.22940516606545,6.69799575856621,7.06814069146191,6.07140040072995,6.99989131076823,6.36704506824727,5.96065887387613,6.00234998637963,7.60661450249822,6.54114935488068,7.06654080341296,6.85359140065498,6.70449025191295,6.85587712120048,8.09189037303183,7.85278506931116,6.32338968304314,7.33541784215698,6.57521009867012,7.96257855372097,8.44233351091985,8.94311018106444,7.35205061824665,5.85843746056542,7.38054830049379,7.54606287945674,7.66736031274366,7.40975611763518,7.23177459963774,6.76171373737292,7.14294680619178,6.93815583511875,7.90175219927853,7.09094623096821
"tumor necrosis factor receptor superfamily, member 13B",9.27601469453294,9.4619505298884,9.83211993218507,9.33464927629316,9.58339036661045,9.4417683427793,9.6180824267955,10.4917163867969,9.83520108133434,9.56908610478769,9.33854124508867,9.87538818431741,9.91593694881074,9.38484914613937,9.89804256502095,9.93277839759592,9.83763547121662,9.20844200619367,8.35649899492146,9.75440188153692,8.91851303145185,9.69590915888608,10.2984938608018,9.94991747914041,9.6551860519291,9.83758257789637,10.6050189627402,9.55331600638083,11.3421442015413,9.93310682613383,9.92287469783044,9.05093629813529,10.5132793407564,9.44079014337338,11.2810227638669,10.0125576196847,9.85468168327167,10.9749109790787,10.2454471517719,8.70675121264428,10.0956781627289,10.4102340402243,8.53062439085406,10.2731675231384,9.94253871515456,10.5299368452555,10.5086564702825,8.8350215775566,11.3293871625405,8.84854453561064,8.84512277574988,9.87766445466032,10.0099842715411,9.68924792435215,10.6102160779754,10.3064924857177,9.70521462729342,9.40483217303321,10.693848351488,9.61636200664213,9.76175001865969,9.43859816738513,10.0171011090382,9.50860159687444,9.83464833233593,10.2298280948797,9.55117662444399,9.96674579904448,8.94778899956346,9.53795216380382,9.12602371484521,10.3981923164978,9.54996771526905,10.0985945024844,9.86941874823664,9.48798355366876,9.26877278469344,11.6976014478687,10.2483422223424,10.6222201947966,9.10089836956661,10.942542162273,9.96438541263677,8.34489895878296,9.99284322518028,10.4833505219282,9.48873080992073,9.85066355915741,10.3511173667604,9.22787630957248,8.25608930781604,9.69098539285745,10.7249217463684,10.2896943731806,9.82037927515596,8.55035438975144,9.6757551284411,11.1941551173333,9.05701000390104,10.1595465637618,10.870576882149,10.7208182432548,9.57972420795501,9.09025340776083,8.86785199920585,8.64239313845157,9.89605362191874,9.84109993779004,8.41101204803803,8.6478029485661,9.932769626886,9.84331658537018,8.99165691120568,9.60537028084223
"c-fos induced growth factor (vascular endothelial growth factor D)",8.13283586284603,7.81780675898872,8.09788560243619,7.89173944919788,6.2941997603237,8.41007998521786,7.75369268909095,7.97214608922883,7.43775001653043,7.74579706875414,7.41092624448257,7.99101020288166,7.78563042350663,7.6631838211261,7.66142790237563,6.91182161453592,6.97446128350346,7.29328273762663,6.59818477999929,7.89542929566954,7.03142751861253,7.61239051280367,7.77941733995346,7.15329103741834,7.56633152024125,8.07721067129283,8.32656507477734,1.83375231287079,7.43420187901412,7.98306571902804,7.92604414880258,7.39377694298565,7.48628714667184,7.1959883828074,8.18184067123681,7.50938400097728,7.30779867186476,8.30425626429606,7.7697833079371,7.78716541135436,7.22678117628844,6.76387722084505,6.43585952546811,7.51309889178659,6.81436980746226,7.65835655458292,7.61524382909217,6.451689274644,7.32238533460052,7.39933831853981,6.77356508067624,6.51240928737853,7.96303713813108,6.5020848373719,6.40868532907609,6.9336654175869,6.31503896980927,7.79250627710747,7.60750922159997,6.58833285100329,8.34181419382312,6.71711261667735,8.60428624134268,7.71243165581999,7.14073032604249,6.58834255464687,7.91939904189744,8.19963848224435,7.18943024389869,8.01345647168926,7.13896046673884,7.63327349504895,7.70383680191191,8.08039534650225,8.08158696666891,7.7243148143647,7.6375820991652,8.24920354046632,8.11420129432459,8.43811053648478,7.66204706060568,8.32500982091792,7.74173802135354,7.63951478462255,7.59463626278246,7.64646665440431,6.97018908885053,7.79724435949863,8.04249752968356,2.51343706865664,7.54405527579145,7.8106045866954,8.25759202910236,8.15552498404282,6.33269096159503,7.27348100114205,7.71192967600569,8.35017083746202,5.35133559409144,7.66635723089083,6.99538101261329,8.00495583533698,6.5133768371505,6.48523860569058,7.57709468656626,6.11357272424078,6.55490742431217,7.67793762036258,6.89406198712623,6.677489305238,7.97890824259925,8.00224533766647,5.656303842903,7.24568207489886
"dickkopf WNT signaling pathway inhibitor 1",10.5192475229089,10.5843180831963,11.8205115882177,10.7387625699727,11.1079706116615,10.6281660359986,10.4052187799088,10.5844274746737,11.2711608880262,11.1169213161618,11.2947999307211,10.9882717841251,10.6199590092812,10.0099211032418,11.1234731010416,10.5800703972404,10.2126293371286,10.2774923716339,9.8789567155335,10.5165688094382,10.2180058816463,10.1391340842582,9.83907448122851,11.6261689771538,10.4313080825725,10.3948112741945,10.9459172765078,11.0190083105793,11.4421357212683,10.2275762413925,9.7828186980161,11.2926273664793,10.1880441966294,10.0947288196491,10.0403167024703,10.0136715824345,10.1392267785408,10.0204805283513,9.3337014432556,10.5589663737328,9.78041922204926,10.9159901464678,9.61593504287849,10.8406652214594,10.4958831168322,9.91600680640931,9.67586650342849,9.22302481821791,10.6829413654641,10.0131927639716,9.61142958648113,10.7240081909151,9.57771794311158,9.6747267282145,9.71614622501007,8.9457485848774,9.64405029369135,10.5589663737328,11.4693800458207,10.5589663737328,10.9466800607321,9.88024655032781,9.76484898761251,11.1599735985972,11.0385605086769,10.1001256021504,11.6310974689711,10.326445520486,10.7644835395725,11.045765710569,10.5042365103378,11.0571309507575,11.0421580519771,11.584952901324,9.17599873080369,10.5984870295921,10.0267715539196,10.5923328704091,10.3686204715845,10.9799265404117,9.6482913191815,10.3787818088178,10.4607792849905,10.7337676784696,9.57961765834545,10.953889838225,10.188299161892,10.8613292347237,9.76969141037655,10.5172200758917,9.88589756422609,10.8861160004147,9.93510018097219,8.86899076961168,8.7103021078418,10.1410654163237,10.4890819899175,9.67945997774898,10.3494527798011,9.40607322052924,9.16345871579655,10.4617937802295,10.3515746784125,9.54141945582268,10.1258982949852,8.96230051780199,9.38106571399939,9.44717844259648,9.17751272587292,10.322826789728,9.15674174510922,9.52500105091745,9.51496595157773,9.71653410987025
"renin",7.72051144271812,7.60293865267273,6.68059275534146,7.84540257811148,9.15783241126945,7.69006187337074,7.70625584973464,9.12851227521419,8.39317808761919,7.23167651580701,10.65385204127,8.4601271464507,8.61725894736973,8.4114635591539,9.6581879827886,8.85287557346633,7.84754590900367,6.82034619194946,7.77917817674007,7.57823899595238,7.88714441838125,7.24983063395456,9.20857402690214,8.04427833459182,7.37361046159515,8.13726638351646,10.3462609895553,8.40824163229687,9.45968792022352,7.8343803339039,9.22206468135311,9.5628589016547,9.17548195446854,8.34351537949554,7.75435193870326,9.61655692148716,8.28475210851051,6.9443989272956,9.16874335606247,9.05997477676114,7.62914369812536,8.9370640944779,7.44914817576992,8.8874347616912,8.8704345216042,9.4905821480362,8.73063432160783,8.31118142654617,8.95140022445398,7.27008915994888,8.75429722098372,9.09781862721771,10.1133423420603,8.34856468468514,9.95033260559296,10.0125507983451,8.28002853448664,7.9931522355711,8.43173057852344,8.09843759411,8.12162418347462,7.06162616372178,7.38927534761475,7.86247202143908,8.24928577403189,7.98645780387687,10.6171065499518,7.38451644365823,7.9032282113034,9.06062464736233,8.27599343681602,8.42418197397816,7.8561207160675,7.85532387479392,7.97867141159987,8.33581902297473,7.8955621383763,8.7596898529453,8.40153196820738,10.2665689897603,9.13192046866499,6.34884100570154,7.45205192538686,8.75913002446607,9.56149219347414,8.60837050556623,7.87765536016629,7.62097652479814,7.56324266450641,8.19197717514141,7.83296070084946,8.92730690727051,9.64831109335346,8.73752652210859,6.86280559020978,7.74333973522361,11.0006311375409,8.36236172032208,7.71999764352697,8.0028241961928,10.3867780750683,9.48783160957937,9.21443368038515,7.40880236297601,7.26349597975259,7.93288494549217,9.85424220344218,10.0455312511436,8.10727866465414,8.39263562945677,8.11483703687054,9.86060988969123,7.87765072751764,8.50742978484985
"platelet-derived growth factor beta polypeptide",11.4290348301176,11.4700799257234,12.6263656358974,11.7552221680804,11.0942867217624,11.6491692921086,11.3484018547709,11.5053264411369,12.3335889897528,11.8269776587064,12.0825753818957,12.3065515572775,11.9354091440364,11.0920688014324,12.241304831387,11.4789443525601,10.8810460578344,10.8246928490103,10.3292780451305,11.6392967925931,10.7667866747071,11.073424788114,10.3631961109529,12.0345451536106,11.0510295219446,11.3081880508266,12.1638673216977,11.3514826328938,12.1832855902552,11.3946031740436,11.4722516461873,11.7533044373022,11.0984738674551,10.3854566973665,10.2541316290366,11.4219526689397,10.8323419469884,11.2657306664475,10.3915770051159,11.7829720462796,10.3551594106697,11.4399937930135,9.91722899421353,11.7372166952762,11.3905257029991,9.4574496172558,11.001193542256,9.70159268445452,11.0038476585965,10.81520346688,11.3436446095982,11.0732644306221,9.62750752711839,10.5842614832985,11.1496012231356,7.80148542462379,10.1271040400336,11.4267982566472,12.2636039866202,11.3403410531761,12.5436872611052,11.0787166849708,10.980716982216,12.1752642859832,11.4169892153109,10.9423479113915,12.4779767601547,10.9648811812328,11.1461103707123,12.0651192833412,11.6119338307432,12.3780107229939,12.2280379554131,12.5990867686805,10.2186549799069,11.6251347396769,10.8886642800462,11.1267395828422,11.9826558133328,12.2218447451735,9.88962873666881,11.6370474178776,11.267979903005,11.5773461373355,10.950433909085,11.4971399769702,10.4440395320687,12.026233716386,11.5731477028881,11.0500140702725,10.4489085822145,10.9446980125334,11.3052812343902,9.13003297248513,9.1072737874515,9.8429316406107,12.3482589521832,11.1600243722187,10.7148952630862,10.9038117623689,7.98211729154893,10.0961717658798,11.3919496835765,10.4346638340111,10.7707618149839,9.35488721287257,11.1532142156468,10.1328831925485,9.83184573136572,10.672640031916,9.97283191363574,9.54241191096916,10.4320902162063,10.718104818683
"growth hormone 1",9.99980652935736,7.15535389428721,4.64949957734897,5.38599814589322,4.63727106279947,6.27030396936032,10.6284586720619,9.08282298896348,8.07874675256565,6.85259945631677,7.05814754705448,7.25519937328807,4.25131773075761,7.2646012722463,8.84324201389986,9.51568793895852,5.97542252760498,9.90931510512471,7.6602495130566,5.7182663286049,6.93924269700483,10.0598681166746,10.6021675502937,9.17080922107774,9.9263049943809,10.7734578947026,9.35570206768735,6.93383938332026,8.40142543824389,6.08809247109108,9.32106520647056,7.35629035530818,8.75109801133345,9.1453937302565,11.2746452592472,7.65711610664256,8.56004011463304,9.08876039521893,10.2728560232678,10.564936964488,7.95762809081189,3.92315810780437,7.58733487230329,9.7014936575221,8.25920212947286,10.8860669879672,7.81875112846555,8.93061364472023,7.4534801852333,9.94824236676262,7.30477752053965,6.16391534999601,8.20767382947301,10.1480205496761,9.25792045277943,9.55039980543349,8.75123163246372,6.74633999607531,5.68318252071477,8.99057701203946,4.87658435745303,7.57040753609084,4.67851843102257,5.38992911299546,5.3903112822893,8.98598847665075,8.03169564102631,6.30303033047042,3.1307890713731,6.53559868297311,8.43746537354692,6.67331318950895,4.96190394700671,8.60985102340075,6.06315043150123,9.76171209208587,6.63997551196167,7.40353467884099,8.64603970484443,11.4200837850541,10.6737494589299,7.37216267336816,9.84728157257638,8.5217087221855,8.09078272208602,6.92153183607584,8.81892035196547,10.3697742844362,10.8217763184413,10.1570980912389,8.32306220424304,9.09864295973688,8.60430513034218,9.90299343896515,7.35937985796485,9.57152921964223,6.0410250632565,10.3155409631307,7.48742697877682,10.4895291400771,9.88446953723079,9.1309833670876,6.49129408723388,5.44495231966194,11.0213844533169,9.37327181130568,7.75383350913304,9.76652435516732,7.21983773942566,8.44717588527812,7.60332181461302,9.62836910737695,8.45412258663419,9.69143781201957
